ZIP,latitude,longitude,city,state,county,population_2010,population_2020
01001,42.0702,-72.6227,Agawam,MA,Hampden,16769,16984
01002,42.3671,-72.4646,Amherst,MA,Hampshire,29049,27558
01003,42.3919,-72.5248,Amherst,MA,Hampshire,10372,13253
01005,42.4097,-72.1084,Barre,MA,Worcester,5079,4900
01007,42.2751,-72.411,Belchertown,MA,Hampshire,14649,15423
01008,42.1829,-72.9361,Blandford,MA,Hampden,1263,1317
01009,42.2061,-72.3405,Bondsville,MA,Hampden,741,980
01010,42.1165,-72.1885,Brimfield,MA,Hampden,3609,3711
01011,42.2794,-72.9888,Chester,MA,Hampden,1370,1201
01012,42.3923,-72.8256,Chesterfield,MA,Hampshire,661,519
01013,42.1487,-72.6079,Chicopee,MA,Hampden,23188,23656
01020,42.1764,-72.5761,Chicopee,MA,Hampden,29668,29781
01022,42.1934,-72.5544,Chicopee,MA,Hampden,2451,2158
01026,42.4633,-72.9202,Cummington,MA,Hampshire,946,1011
01027,42.2668,-72.669,Easthampton,MA,Hampshire,17660,17896
01028,42.0672,-72.5056,East Longmeadow,MA,Hampden,15720,16417
01029,42.1909,-73.0517,East Otis,MA,Berkshire,789,714
01030,42.0718,-72.6751,Feeding Hills,MA,Hampden,11669,11708
01031,42.3322,-72.1986,Gilbertville,MA,Worcester,1308,1406
01032,42.4404,-72.7995,Goshen,MA,Hampshire,570,483
01033,42.2557,-72.52,Granby,MA,Hampshire,6227,6092
01034,42.1127,-72.952,Granville,MA,Hampden,2021,1977
01035,42.3606,-72.5715,Hadley,MA,Hampshire,5250,5325
01036,42.0648,-72.4318,Hampden,MA,Hampden,5109,4966
01037,42.3479,-72.2253,Hardwick,MA,Worcester,838,706
01038,42.3844,-72.6167,Hatfield,MA,Hampshire,2545,2522
01039,42.3818,-72.7032,Haydenville,MA,Hampshire,1336,1511
01040,42.202,-72.6262,Holyoke,MA,Hampden,39880,38238
01050,42.2653,-72.8733,Huntington,MA,Hampshire,2530,2467
01053,42.3543,-72.7034,Leeds,MA,Hampshire,1685,2031
01054,42.4682,-72.4993,Leverett,MA,Franklin,1851,1889
01056,42.1728,-72.471,Ludlow,MA,Hampden,21103,21002
01057,42.101,-72.3196,Monson,MA,Hampden,8534,8152
01060,42.3223,-72.6313,Northampton,MA,Hampshire,15284,14461
01062,42.3219,-72.6928,Florence,MA,Hampshire,11150,10910
01063,42.3179,-72.6402,Northampton,MA,Hampshire,430,2106
01066,42.4112,-72.6223,North Hatfield,MA,Hampshire,64,215
01068,42.348,-72.0513,Oakham,MA,Worcester,1902,1904
01069,42.1762,-72.3288,Palmer,MA,Hampden,8469,8428
01070,42.5144,-72.9183,Plainfield,MA,Hampshire,629,577
01071,42.1471,-72.8403,Russell,MA,Hampden,1596,1486
01072,42.482,-72.4213,Shutesbury,MA,Franklin,1478,1366
01073,42.2247,-72.7194,Southampton,MA,Hampshire,5792,6224
01074,42.3854,-72.0954,South Barre,MA,Worcester,319,584
01075,42.2375,-72.5811,South Hadley,MA,Hampshire,17527,18168
01077,42.0511,-72.7706,Southwick,MA,Hampden,9502,9237
01079,42.1929,-72.3296,Thorndike,MA,Hampden,692,701
01080,42.1819,-72.3624,Three Rivers,MA,Hampden,2334,2400
01081,42.0627,-72.2046,Wales,MA,Hampden,1698,1684
01082,42.2618,-72.2583,Ware,MA,Hampshire,10322,10565
01083,42.204,-72.1994,Warren,MA,Worcester,2888,2549
01084,42.3903,-72.8709,West Chesterfield,MA,Hampshire,176,185
01085,42.1251,-72.7495,Westfield,MA,Hampden,41117,41529
01088,42.3906,-72.6469,West Hatfield,MA,Hampshire,670,598
01089,42.1151,-72.6411,West Springfield,MA,Hampden,28391,28835
01092,42.2029,-72.229,West Warren,MA,Worcester,1394,1343
01093,42.4427,-72.6525,Whately,MA,Franklin,325,290
01094,42.3582,-72.1408,Wheelwright,MA,Worcester,351,60
01095,42.1245,-72.4464,Wilbraham,MA,Hampden,14319,14694
01096,42.4085,-72.778,Williamsburg,MA,Hampshire,2217,2509
01097,42.164,-72.8295,Woronoco,MA,Hampden,111,130
01098,42.3843,-72.9314,Worthington,MA,Hampshire,1101,1147
01103,42.1029,-72.5887,Springfield,MA,Hampden,2479,2545
01104,42.1288,-72.5778,Springfield,MA,Hampden,22865,23598
01105,42.0999,-72.5783,Springfield,MA,Hampden,12350,12051
01106,42.0507,-72.5676,Longmeadow,MA,Hampden,16021,16165
01107,42.1179,-72.6065,Springfield,MA,Hampden,11611,11252
01108,42.0853,-72.5584,Springfield,MA,Hampden,26688,27671
01109,42.1145,-72.5543,Springfield,MA,Hampden,30250,30968
01118,42.0929,-72.5274,Springfield,MA,Hampden,14071,14296
01119,42.1247,-72.5121,Springfield,MA,Hampden,14152,14393
01128,42.0944,-72.4889,Springfield,MA,Hampden,2631,2647
01129,42.1223,-72.4876,Springfield,MA,Hampden,7019,7024
01151,42.1532,-72.505,Indian Orchard,MA,Hampden,8698,9150
01201,42.4531,-73.2471,Pittsfield,MA,Berkshire,46504,45494
01220,42.6223,-73.1172,Adams,MA,Berkshire,8603,8166
01222,42.0596,-73.3202,Ashley Falls,MA,Berkshire,829,835
01223,42.3594,-73.1203,Becket,MA,Berkshire,2314,2430
01224,42.5126,-73.1929,Berkshire,MA,Berkshire,182,217
01225,42.5611,-73.158,Cheshire,MA,Berkshire,3117,3258
01226,42.475,-73.1603,Dalton,MA,Berkshire,6945,6324
01229,42.2793,-73.3435,Glendale,MA,Berkshire,95,189
01230,42.1959,-73.3607,Great Barrington,MA,Berkshire,8430,8907
